user_name,real_name
Drthebigboss,José Gabriel Cardoso Cardoso
DrVelja,Velimir Ivic  
dulemaster,Dusan Popovic
Durarbayli,Vasif Durarbayli
Dynamikus,Sebastian Bogner  
DynamoAlchemyst,Dhiren
EddieMarsalla,Ivan Vihor
EDGARDZANETTE,Edgard Zanette
Eduiturri,Eduardo Iturrizaga
Ehlvest,Jaan Ehlvest
Elda64,Paul Velten
EleKtRoMaGnIt,Mr EleKtRoMaGnIt  
EltajSafarli,Eltaj Safarli  
EnglishLongbow,Denis Makhnev
enmQ,Nikita Meshkovs
EricRosen,Eric Rosen
Ermolaev,Andrey Ermolaev
Erow,Eray Kilic
Esssquire,Vladislav Kovalev
etopak,Engin Topak
Euge_chess,Maria Eugenia Ramirez
Eugenerougon,Aslan Aitbayev
Evgeny_Levin,Evgeny Levin  
EvgenyPostny,Evgeny Postny
EvilGenius94,Vidit Gujrathi
FairChess_on_YouTube,Dmitry Andreikin
fairchess03,Egor Lashkin  
FakeBruceLee,Zaur Mammadov  
Fandorine96,Maksim Chigaev
Federicov93,Federico Perez Ponsa
Feokl1995,Vladimir Fedoseev
ficorrales,Fidel Corrales
Fighterman91,Pouria Darini
Fins,John Bartholomew
Flawless_Fighter,Polina Shuvalova
Flo_55,Florian Jacobs
Flugg,Alexander Tømmerås
FlyInSky,Alex
Footgolfer,Nicolai Dreyer
frankja,Frank Jakobsen
Free_Dragon,Volodymyr Vusatiuk
Frontier96,Dejan Marjanovic  
froyasjakk,Ingeborg M. Nyland
Frutek,Julijan Plenca
ftorodent,Andrey Rychagov
fuglfonix,Thomas Christensen
Funkmaus,She who dares wins
funny_chess,Mikhail Demidov
Gagarinec,Alexander Zabotin
Gahan-MG,Gahan MG
gamingwarlord,Hikaru Nakamura
Gannikus21,Nikita Matinian
Gbeto,G_ Beto
GeorgMeier,Georg Meier
Gevorg_Harutjunyan,Gevorg Harutjunyan
GGuseinov,Gadir Guseinov  
Gholami_Orimi_A,Anahita Gholami Orimi
Gilevich,Cergy Gilev
Girolamo_Savonarola,Ekaterina Smirnova
gmadham,Adham Fawzy
GMadly,Ahmed Adly  
GMJOEY93,Rogelio Jr Antonio 
gmmoranda,Wojciech Moranda
GMVallejo,Francisco Vallejo Pons
gmwesleyso1993,Wesley So
Gokerkan,Cem Kaan Gokerkan
goldeen_king,Seyed Mehrab Khoshkalam
Golubov_Saveliy,Golubov Saveliy
Grandelicious,Nils Grandelius
grandmastergauri,Gauri Shankar
gravereaper,Christopher Noe  
greennight,Jakub Pulpan
grizzlybear79,Parham Maghsoodloo
gsvc,Guillermo Vazquez
Gvein,Kenneth Gvein
h3nrique,Henrique Paiva
Hani007,Younes HANI
hansjl,Hans Joakim Lundstrøm
hansolavr,Hans-Olav Rise
HansSchmidt,Hans Schmidt
Hello_its_you,Hello Its-You
hiimgosu,Eric Hansen
hitter1999,Aravindh Chithambaram
HolaMiQueridoAmor,Mi Amor  
hordemannfun,Zeljko Djerdj
Horobetz,Graham Horobetz
hyfe,Reidar Strand Hagen
iamstraw,Brandon Jacobson
Ian_Nepomniachtchi,Ian Nepomniachtchi
idelaria,Idelfonso Datu  
IGMGataKamsky,Gata Kamsky
IgorKowalski,Igor Kowalski
ijh,Lord of the Bans
ikhasu,Irene Sukandar
Infernal_XaM,Pavel Ponkratov
Inventing_Invention,Arjun Erigaisi
irakliberadze,Irakli Beradze
iulikjulik86,Iulian Baltag
IVK88,Igor Kovalenko
j_coca,Jesús Alberto Coca Cubillos
Jacquol,Owen McCoy
jarming,Julian Rojas
Jb2mix,Joel Banawa
jdrc,Joshua Ruiz
jeffforever,Jens Hirneise
Jepetto,Ian Nepomniachtchi
jlhammer,Jon Ludvig Hammer
JoaBN,Joachim B. Nilsen
Johanssc,Johan-Sebastian Christiansen
Johansson,Carl Fredrik Johansson
johnbjornar,John Bjørnar
Johnking,Harshit Raja
Jokkee,JF
junglebook1,Nihal Sarin
juniortay,Junior Tay
Kacparov,Kacper Drozdowski  
KaiyrbekovRustam010,REST KABURKOV
KajaVach,Karel Vachopulos  
KamranShirazi,Kamran Shirazi
Kanan_Qarayev02,Kanan Garayev  
kapaccino,.i .i
KAPUTVSEMU,Erik Obgolts  
Kastorcito,Rodrigo Vasquez
katebeckett,Hikaru Nakamura
Kelevra317,Daniel Linchevsky
K-Georgiev,Kiril Georgiev  
Khalilmousavii,Mousavi Seyed Khalil
Kiborg1987,Borki Predojevic
Kirill_Klyukin,Kirill Klukin
kirill_kopyonkin,Kirill Kopyonkin
klari64,Tobias Kölle
Klimenko_Sergey_IM,Sergey Klimenko
Konevlad,Vladislav Artemiev
Konstantin_Bazarov,Konstantin Bazarov
Konstantin_Tarlev,Konstantin Tarlev  
Kosnl,Borsuk Konstantin
Krestoman,Mikhail Yashmetov
Krosta,Runar Ødegaard
Kubas92,Piotr Sabuk
Kusj,Simen Dalen Taraldsen
kutiktau,Mikheil Mchedlishvili
kwchez,Kevin Wang
L04d1ng,Danyyil Dvirnyy
lagartodeleyende,Fernando Miguel Fernandez
Lance5500,Mr Lance
lanchester1,Asghar Golizadeh
larslur,Lars
larso,Lars Oskar Hauge
LastGladiator2,Aydin Suleymanli
Lastpartisan,Vitaly Teterev
leo_duarte,Leonardo Duarte
Levan_Pantsulaia,Levan Pantsulaia  
liczner,Lukasz Licznerski
Like_a_Gin,Sergei Lobanov
LittlePeasant,Alejandro Ramirez
littleplotkin,Mark Plotkin
Lixie1903,Gleb Babanin
lodewijkfrederik,Vincent Rothuis 
lorentzv,Lorentz Vedeler
Lu_Shanglei,Shanglei Lu  
Luberpull,Vyacheslav Loginov
Lubov_Gordyk,Gordyk Lubov
lucianobonfico,Luciano Bonfico
Lugovskoy_Maxim,Maxim Lugovskoy
luoxiaoke,"Luo, Xiao Ke"
maciek_92,Maciej Klekowski
Macrofago,José Carlos Ibarra Jerez
MagnusCarlsen,Magnus Carlsen
MagnusFalkenberg,Magnus Falkenberg
MahammadMuradli2003,Mahammad Muradli
Mamikon_Gharibyan,Mamikon Gharibyan
Mangusty,Andrey Okara
manwithavan,Magnus Carlsen
MarcTheSpark,Marc Christian Nazario
MarklarMarklar,Miroslav Simonovic
Markov_M,Mikhail Markov
mashin15,Pablo Garcia Cardenas 
MasterAmy,Damaris Abarca
MasterAssasin123,Diptayan Ghosh  
matebypawn,Simon Madland
Matlakov,Maxim Matlakov
MatthewG-p4p,Matvey Galchenko
maxip32,Maximiliano Perez
may6enexttime,Aleksei Sarana
mbodek,Michael Bodek
Medarde94,Luis Marcos Medarde Santiago
MeneerMandje,Thomas Beerdsen
Mennyhagen,Hagan 
MergenSatrancMerkezi,Mergen Satranç | Mergen Chess Club
MerVit,Meribanov Vitaly
Meysonn,Meylis Annaberdiyev
MgaPR,Gabriel Tortola
Mhero1996,Mher Sargsyan  
michelchess94,Michel Alejandro Díaz
Mikhailov_Viacheslav,Viacheslav Mikhailov
Mishka_The_Great,Mieszko Mis
Mitrabha,Mitrabha Guha
ModafinilxRitalin,Eddie Morra
Mohammad_Ervan,Mohammad Ervan
MokshanovAlexey22,Alexey Mokshanov
Molt7n,Moulthun Ly  
Moose959,Peter Svidler
Moro182,Luca Jr Moroni
mortenil,Morten Isebakke Lyse
Mrrefrao,Lucas Coro
MrVoldsom,Kjetil Vold
Mseserovich,Tshepo Tshabalala
muisback,Rauf Mamedov
Multibrendovyi,Aleksandr Shimanov  
munster1,Joachim Solberg
Murakami,Martin Martinez Romero
muran29,Vahram Mezhlumyan
mutdpro,Minh Le Tuan
N-Chadaev,Nikolay Chadaev
neslraCsungaM77,Magnus Carlsen
NeverEnough,Boris Grachev
NewZorro,Valerij Popov
NguyenDucHoa,Duc Hoa Nguyen
Nichega,Dmitry Bocharov
Night-King96,Oleksandr Bortnyk
nihalsarin2004,Nihal Sarin
Nika_Volkov,Nika Volkov  
Nikolaj_6,Nikolai Aliavdin
Nikotheo,Nikolas Theodorou
NIndja64,Aleksandar Indjic  
nissou-ach,Mohamed Anis Achour
Nozdrachev_Leonid,Leonid Nozdrachev
Nozdrachev_Vladislav,Vladislav Nozdrachev  
NTDVAN,Thai Dai Van Nguyen
Nyxnyxnyxnyxnyx,Jan Emmanuel Garcia
oanda,Aaron Jacobson
Oburg007,Ruslan Yandarbiev
Ogrilla,Grigoriy Oparin
OhanyanEminChess,Emin Ohanyan
okriak,Dmitry Obolenskikh
opperwezen,Vincent Rothuis
Palachev_Petr,Petr Palachev
papadosor,Milan Jocev
Pap-G,Pap Gyula
Paradoxxx1,Arkady Gitelson
PaulfromSPb,Pavel Anisimov
PchelkinVK,Andrey Ermolaev
penguingim1,Andrew Tang
Platy2,Alan Pichot
pochtalionPechkin,Boris Savchenko
Pon4ik2006,Denis Lazavik
ponzianipower,AusCub
Poudini,Pouya Idani
Praggnanandhaachess,Rameshbabu Praggnanandhaa
promove2500,Vladimir Zakhartsov
Puli1234,Ankit Rajpara
pultis12,Paulius Pultinevicius
qeeqer,Artur Janturin
quasar,Bohdan Nishta
Queen_Iryna,Irina Petrova
Quest_to_3000,Jacob Furfine
Rain_Man,Samvel Ter-Sahakyan
Rakhmanov_Aleksandr,Aleksandr Rakhmanov  
Ranindu___chess,Ranindu Dilshan Liyanage
RaphaeI,Matej  Sebenik
Rapidking2010,Subhan Gilmessen
RD4ever,Rustam Khusnutdinov
RealDavidNavara,David Navara  
RebeccaHarris,Daniel Naroditsky
rhinoceros2015,Mikhail Pogromsky  
rickyrich,Ricky Rich
Rikikits,Maxime Lagarde
Rikkk17,Azamat Utegaliyev  
Riquelme93,Sanan Sjugirov
RiseAgainst,F. Kramer
Roaccutane,Mustafa Berkay Özdöver
Roshka_Yevgeniy,Yevgeniy Roshka
Rud_Makarian,Rudik Makarian
rus_pressF,Denis Pershin
RussianBlizzard,Egor Baskakov  
samisahi,Samir Sahidi
Sandstad,Inge Sandstad Skrondal
santyaga2020,Victor
SaraciNderim,Nderim Saraci
Sasha,Alexander Grischuk
Satranc_Youtube,Cem Gündogan
sber1,Vladimir Kk  
Schaefchen,Ilja Schneider
SchekachikhinMaksim,Maksim Schekachikhin
Sergey_Karjakin,Sergey Karjakin
Sergey_Naboka,Sergey Naboka
Sergoy45,Sergey Drygalov  
severomorskij17,Aleksandr Moiseenko
SF-46,Ilya Grigorjev  
Shahistja,Bruna Tuzi
ShakhiMaty,Konstantin 
Shanem123,Shane Melaugh
Shant7777777,Shant Sargsyan
Sharaev,Rinat Sharayev
Sholman97,Ayush Arshaev  
shrekdavid,David Gorodetzky
sicilian_dragon2018,Alvin Al-farok Campong
Sidonya,Luis Raygoza
SindarovGM,Sindarov Javokhir
SirJohn13,Ioannis Georgiadis  
Sjakkerntobi,Tobias Lang Nilsen
Skliarov_Viktor,Viktor Skliarov
slowdumb,Alexandra Obolentseva
Smirnov_Pavel,Pavel Smirnov
Soker64,Pedro Gines  
Sparta299,Sam Sevian
SpiderMoves,Fan de Maxwhyter_68 
startstek,Samy Ould Ahmed
STL_Aronian,Levon Aronian
STL_Carlsen,Magnus Carlsen
STL_Caruana,Fabiano Caruana
STL_Dominguez,Lenier Dominguez
STL_Firouzja,Alireza Firouzja
STL_Grischuk,Alexander Grishuk
STL_Harikrishna,Pentala Harikrishna
STL_Kasparov,Gary Kasparov
STL_Nakamura,Hikaru Nakamura
STL_Nepomniachtchi,Ian Nepomniachtchi
STL_So,Wesley So
STL_Svidler,Peter Svidler
STL_Vachier-Lagrave,Maxime Vachier-Legrave
STL_Xiong,Jeffery Xiong
straybullet,Sergey Koutsin
sumsar42,Rasmus Svane
SuperJDS,Jan David Stenersen
SVODMEVKO,Daniil Dubov
swimmerchess,Siva Mahadevan  
szachus,Krzysztof Budrewicz
tacticthunder,Dimitris Alexakis
taheryoseph,Yoseph Taher
tamojerry,reza mahdavi  
Tayka,Vadim Moiseenko
TemurKuybokarov,Temur Kuybokarov  
Tenamu,Nafisa Muminova
TenzaSangetsu,Esteban Valderrama
TerryR2,Renato Alfredo Terry Lujan
The_Machine04,Ruben G. Koellner
the2016willbemine,Mateusz Paszewski
TheMeatOnBone,Grey Man
Tigre41,Vladislav Grigoriev
Tilicheev_Viacheslav,Viacheslav Tilicheev
TimeToShine,Enes Tanriverdi
TimIlyin,Timofey Ilyin
TimofeevAr,Artem Timofeev  
TitledWolf,Aydin Suleymanli
toivok,Toivo Keinänen
Tormozz,Ivan Provotorov
tptagain,David Anton Guijarro 
Trentosk,Lawrence Trent
tsakos27,Haralambos Tsakiris
TSMFTXH,Hikaru Nakamura
Up_to_something,Semen Khanin
UzbekTiger63,Tair Vahidov  
Vagizovich,Ramil Hasangatin
ValeriyGrinev,Valeriy Grinev
Vasily_Malyshev,Vasily Malyshev
venajalainen,Klementy Sychev  
VerdeNotte,Gawain Jones
ViejoTortuga,Vladimir Dobrov
vilhelmfl,Firedash  The Pyrofox
VincentKeymer2004,Vincent Keymer  
vizumatv4hoda,Egor Bogdanov  
Vlad__Lukiyanchuk,Vlad Lukiyanchuk
vlad10898,Vladislav Bakhmatsky
Vladimir_Bychkov,Vladimir Bychkov
Vladimir_Kramnik,Vladimir Kramnik
VladimirBelous,Vladimir Belous
Vladimirovich9000,Dmitry Andreikin
VojtaPlat,Vojtech Plat  
vovaches,Vladimir Mikhailovsky
vroeli,Oliver Barbosa  
VS99,Shakhzod Vakhidov
Vuk00,Vuk Djordjevic
walterpawn,okonkwo ifeanyi
wannabe2700,vilka sipila
wateenellende,Vincent Rothuis
Weetik,Vjacheslav  Weetik
WetTeo,Ola
wizard98,S. L. Narayanan
Wonderbeer,Fredrik Hansen
xamax2000,Max Warmerdam
xasid,Yuri Zhizmer
Xellerex,Justin Liang
yesaiedo,Mahel Boyer
yyoochess,Christopher Yoo
ZeRatao37,Felipe Leonardo
Zetison,Jon Vegard Venas
Zeveraar-Glen,Sim Maerevoet
Zhalmakhanov_R,Ramazan Zhalmakhanov
Zhigalko_Sergei,Sergei Zhigalko 
Zkid,Steven Zierk
ZodabwitsaIM,Unknown Master
Zubrrr,Artyom Zubritskiy
Zugzwang_TV,Giorgi Sibashvili
zvonokchess,Nikita Petrov  
